checksums,id,public access,created at,updated at,created_by_id,updated_by_id,is active,extras,uri,version,released,retired,is latest version,external id,concept class,datatype,comment,parent_id,versioned_object_id,mnemonic,counted,index
{},212817,View,2022-09-01T21:12:33.890720+00:00,2022-09-01T21:12:33.899210+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/40426/,212817,False,False,False,8945f1f5-f0b4-4e37-b5d0-23cd3ff5c19e,Diagnosis,N/A,,10,212817,40426,True,True
{},142885,View,2022-09-01T20:55:21.250375+00:00,2022-09-01T20:55:21.259198+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/10661/,142885,False,False,False,e9beab42-afc9-4cdc-94d4-31a611d5d806,Drug,N/A,,10,142885,10661,True,True
{},171677,View,2022-09-01T21:02:30.044748+00:00,2022-09-01T21:02:30.056915+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/28267/,171677,False,False,False,b22e5697-79f7-465c-a327-dde325780de6,Question,Coded,,10,171677,28267,True,True
{},142886,View,2022-09-01T20:55:21.261045+00:00,2022-09-01T20:55:21.269325+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/13353/,142886,False,False,False,031bc616-9680-477b-8e9b-2e90fa7c2839,Diagnosis,N/A,,10,142886,13353,True,True
{},149080,View,2022-09-01T20:56:59.372109+00:00,2022-09-01T20:56:59.382774+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/5116/,149080,False,False,False,f3356aab-5fef-408e-99aa-050bd7772e73,Diagnosis,N/A,,10,149080,5116,True,True
{},171679,View,2022-09-01T21:02:30.121720+00:00,2022-09-01T21:02:30.132112+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/23980/,171679,False,False,False,276535b4-b7e8-4278-bd5c-5624861fd9b9,Finding,Datetime,,10,171679,23980,True,True
{},155461,View,2022-09-01T20:58:34.141673+00:00,2022-09-01T20:58:34.149175+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/6233/,155461,False,False,False,e8529f36-a572-4582-819f-62b21affa7a4,Drug,N/A,,10,155461,6233,True,True
{},171680,View,2022-09-01T21:02:30.135950+00:00,2022-09-01T21:02:30.146417+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/23616/,171680,False,False,False,e16a53e1-2874-43d9-9012-22fcfb025c53,Diagnosis,N/A,,10,171680,23616,True,True
{},142891,View,2022-09-01T20:55:21.296522+00:00,2022-09-01T20:55:21.306486+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/13533/,142891,False,False,False,7c687d28-29b3-4b17-9a22-1d98cc302d15,Diagnosis,N/A,,10,142891,13533,True,True
{},154433,View,2022-09-01T20:58:18.667982+00:00,2022-09-01T20:58:18.677196+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/2807/,154433,False,False,False,352dec9f-4f8d-417d-9e0a-70e214f895b8,Diagnosis,N/A,,10,154433,2807,True,True
