checksums,id,public access,created at,updated at,created_by_id,updated_by_id,is active,extras,uri,version,released,retired,is latest version,custom validation schema,parent_id,map type,sort weight,external id,comment,versioned_object_id,mnemonic,from_concept_id,to_concept_id,to_source_id,from_source_id,from concept code,from concept name,from source url,from source version,to concept code,to concept name,to source url,to source version, counted, index
{},621481,View,2022-09-01T21:07:56.615165+00:00,2022-09-02T03:20:45.537652+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/87168/,621481,False,False,False,,10,SAME-AS,,fc6bb9c1-07d0-421d-a6f4-0544c43a5950,,621481,87168,195255,,11,10,24477,Postinflammatory Choroid Scar,/orgs/MOH-KENYA/sources/nhdd/,,7366009,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},639070,View,2022-09-01T21:09:16.932282+00:00,2022-09-02T03:20:45.553039+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/95962/,639070,False,False,False,,10,SAME-AS,,5b7d07ae-e1cd-49ef-a8bf-a2a33335ffe3,,639070,95962,200448,,11,10,34783,intentional fluorouracil overdose,/orgs/MOH-KENYA/sources/nhdd/,,295725000,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},644054,View,2022-09-01T21:09:39.848407+00:00,2022-09-02T03:20:45.559825+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/98455/,644054,False,False,False,,10,SAME-AS,,5aebe363-0a95-4de3-9661-faa04a1dafaa,,644054,98455,201821,,11,10,42675,Radiotherapy Follow-Up Examination,/orgs/MOH-KENYA/sources/nhdd/,,183650005,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},696399,View,2022-09-01T21:13:37.478116+00:00,2022-09-02T03:20:45.573456+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/124628/,696399,False,False,False,,10,SAME-AS,,03592798-2975-40d1-bc7e-aee657f77b7f,,696399,124628,216700,,11,10,36326,Accidental Poisoning by Petroleum Fuels and Cleaners,/orgs/MOH-KENYA/sources/nhdd/,,269690006,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},635076,View,2022-09-01T21:08:59.099030+00:00,2022-09-02T03:20:45.607465+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/93965/,635076,False,False,False,,10,SAME-AS,,3e1478e9-869b-4fa9-a33b-378d9e60ed6e,,635076,93965,199303,,11,10,32257,Third Degree Burn of Chin,/orgs/MOH-KENYA/sources/nhdd/,,73545001,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},621487,View,2022-09-01T21:07:56.626104+00:00,2022-09-02T03:20:45.682676+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/87172/,621487,False,False,False,,10,SAME-AS,,b276f1be-a29c-4193-a671-af699957f1fd,,621487,87172,195330,,11,10,32773,"open wounds involving thorax with abdomen, lower back and pelvis",/orgs/MOH-KENYA/sources/nhdd/,,212492007,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},621490,View,2022-09-01T21:07:56.645972+00:00,2022-09-02T03:20:45.772021+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/87173/,621490,False,False,False,,10,SAME-AS,,55893575-fe89-4c1a-87ec-3b2734c22eee,,621490,87173,195309,,11,10,36906,discord with counsellors,/orgs/MOH-KENYA/sources/nhdd/,,105520007,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},625568,View,2022-09-01T21:08:16.177649+00:00,2022-09-02T03:20:45.787050+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/89212/,625568,False,False,False,,10,SAME-AS,,308903c3-d123-414d-ba3e-3e5c2b7836d5,,625568,89212,196551,,11,10,34576,intentional nalorphine poisoning,/orgs/MOH-KENYA/sources/nhdd/,,291409001,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},625571,View,2022-09-01T21:08:16.195055+00:00,2022-09-02T03:20:45.816347+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/89214/,625571,False,False,False,,10,SAME-AS,,c6fc0141-aeaf-45c0-ba8a-68187a52abc8,,625571,89214,196444,,11,10,36555,"Viral Hepatitis B with Hepatic Coma, Acute, with Hepatitis Delta",/orgs/MOH-KENYA/sources/nhdd/,,186624004,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},635087,View,2022-09-01T21:08:59.154007+00:00,2022-09-02T03:20:45.846598+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/93972/,635087,False,False,False,,10,SAME-AS,,36338336-8a2e-431c-a84c-e09d84977d9e,,635087,93972,199310,,11,10,33520,Traumatic Blister of Trunk,/orgs/MOH-KENYA/sources/nhdd/,,400184006,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
